epoch,train_loss,train_acc,test_loss,test_acc,lr
1,4.026123477172852,7.208,3.666638515472412,13.09,0.1
2,3.4467455480194094,16.01,3.338646697235107,18.57,0.1
3,2.95077791015625,25.116,2.8947392448425293,27.62,0.1
4,2.558481177520752,33.06,2.609628254699707,32.97,0.1
5,2.2725689921569825,38.924,2.301252289581299,38.89,0.1
6,2.057877608947754,43.876,2.413404623413086,38.49,0.1
7,1.9052488594818116,47.388,2.1452771430969237,42.8,0.1
8,1.7756817810440064,50.292,1.9770708923339844,46.65,0.1
9,1.681960259552002,52.744,2.0240336254119873,46.75,0.1
10,1.5941853734970093,55.0,1.8764921733856201,49.36,0.1
11,1.5172282623672486,56.834,2.178773178482056,43.99,0.1
12,1.4617975963592529,58.042,1.8170728631973267,50.78,0.1
13,1.4067762117004394,59.58,1.6590970617294312,54.32,0.1
14,1.3572397681427002,60.774,1.613921947479248,55.66,0.1
15,1.3086226877593994,61.994,1.6724142335891723,54.67,0.1
16,1.2726335373687745,62.948,1.6294747257232667,54.77,0.1
17,1.2428497272109986,63.748,1.6185039167404174,56.16,0.1
18,1.2012838802337646,64.706,1.6126392070770263,56.88,0.1
19,1.1717797032928468,65.564,1.4928201223373414,58.52,0.1
20,1.1504572242355346,65.932,1.7284262578964233,53.82,0.1
21,1.1145391500091553,67.064,1.5706105403900146,56.95,0.1
22,1.0900835478401185,67.714,1.7225308656692504,55.44,0.1
23,1.0702428148078917,68.256,1.6770138202667237,54.24,0.1
24,1.0526011656951904,68.688,1.5262006052017212,58.71,0.1
25,1.0331710715103148,69.076,1.5823202697753906,58.0,0.1
26,1.015682152481079,69.72,1.524538010406494,58.74,0.1
27,1.000774650001526,70.132,1.7334216209411621,54.87,0.1
28,0.9772553799438477,70.74,1.5850811449050903,57.88,0.1
29,0.9683930194473267,70.664,1.558926699066162,57.7,0.1
30,0.9609937407302857,71.352,1.6070658615112305,57.54,0.1
31,0.9397711282539367,71.642,1.7001268550872803,56.56,0.1
32,0.9256374385452271,71.892,1.5519290184020995,58.18,0.1
33,0.9143198259162902,72.26,1.531119380569458,58.67,0.1
34,0.9004910179519653,72.72,1.4582900390625,60.91,0.1
35,0.8912130909347534,72.868,1.5197322269439697,59.5,0.1
36,0.8824642039108276,73.152,1.5169995090484618,61.29,0.1
37,0.8744099796676635,73.478,1.4917773612976075,59.53,0.1
38,0.8618136617279053,73.49,1.7914338960647582,56.41,0.1
39,0.8544470581436158,73.838,1.5969824655532836,58.68,0.1
40,0.8419944347763062,74.272,1.5891054594039917,58.71,0.1
41,0.8398486781692505,74.362,1.557160544013977,59.69,0.1
42,0.8231143416976928,74.724,1.4925167924880982,61.11,0.1
43,0.8161194472312927,75.05,1.5317352996826172,60.99,0.1
44,0.8131271869277954,75.112,1.5180876792907714,60.26,0.1
45,0.8011124124717712,75.354,1.4048544202804565,62.44,0.1
46,0.7994851246261596,75.48,1.7224255575180054,57.25,0.1
47,0.7982846697998047,75.386,1.6334756721496582,58.61,0.1
48,0.783103694782257,75.864,1.541076494026184,60.26,0.1
